RESPOSTAS CORRETAS,RESPOSTAS ERRADAS
Segundo a NBC TA 230 a forma o conteúdo e a extensão da documentação de auditoria dependem de fatores como: (a) tamanho e complexidade da entidade; (b) natureza dos procedimentos de auditoria a serem executados; (c) riscos identificados de distorção relevante; (d) importância da evidência de auditoria obtida; (e) natureza e extensão das exceções identificadas; (f) necessidade de documentar a conclusão ou a base da conclusão não prontamente determinável a partir da documentação do trabalho executado ou da evidência de auditoria obtida; (g) metodologia e as ferramentas de auditoria usadas,A forma o conteúdo e a extensão da documentação de auditoria independem de fatores como tamanho e complexidade da organização
A auditoria externa tem a finalidade/objetivo principal de comprovar a veracidade dos registos e informações contábeis apresentados por uma empresa e não realizar a elaboração das demonstrações contábeis,A auditoria independente tem como objetivo colaborar na elaboração das demonstrações contábeis da empresa auditada emitindo opinião sobre a adequação das demonstrações contábeis em relação aos princípios fundamentais de contabilidade
Caso seja identificado um risco de distorção relevante no nível de afirmações considerado significativo o auditor deve executar procedimentos substantivos que respondam especificamente a esse risco,Situação hipotética: Determinado auditor após realizar conferência de cálculos concluiu que o saldo da conta de estoques estava relevantemente distorcido embora o saldo não estivesse efetivamente nessa condição. Assertiva: Nesse caso o auditor incorreu no risco de aceitação incorreta
NBC TA 330 = Se o auditor determinar que um risco identificado de distorção relevante no nível de afirmações é significativo o auditor deve executar procedimentos substantivos que respondem especificamente a esse risco,Risco de aceitação incorreta: é o risco de que embora o resultado da aplicação de procedimentos de auditoria sobre a amostra leve à conclusão de que o saldo de uma conta ou classe de transações registradas está relevantemente distorcido mas efetivamente não está
Os testes substantivos são imprescindíveis em trabalhos de auditoria uma vez que é através da aplicação correta destes que o auditor obtém evidências sobre os saldos e ou transações apresentadas pela empresa,Risco de rejeição incorreta: é o risco de que embora o resultado da aplicação de procedimentos de auditoria sobre a amostra leve à conclusão de que o saldo de uma conta ou classe de transações registradas não está relevantemente distorcido mas efetivamente está
O auditor deve planejar e implementar respostas gerais para tratar dos riscos avaliados de distorção relevante no nível das demonstrações contábeis,Risco de superavaliação da confiabilidade: é o risco de que embora o resultado da aplicação de procedimentos de auditoria sobre a amostra não seja satisfatório o restante da população possua menor nível de erro do que aquele detectado na amostra
Em razão dos dados contidos na DRE o auditor deverá realizar exame documental para identificação de possíveis fraudes na escrita contábil,Risco de subavaliação da confiabilidade: é o risco de que embora o resultado da aplicação de procedimentos de auditoria sobre a amostra seja satisfatório o restante da população possua maior nível de erro do que aquele detectado na amostra
Situação hipotética: Determinado auditor após realizar conferência de cálculos concluiu que o saldo da conta de estoques estava relevantemente distorcido embora o saldo não estivesse efetivamente nessa condição. Assertiva: Nesse caso o auditor incorreu no risco de rejeição incorreta,O auditor deve depois de expressar uma opinião ter obtido segurança razoável de que as demonstrações contábeis como um todo estão livres de distorção relevante independentemente de terem sido causadas por fraude e erro
Risco de rejeição incorreta: é o risco de que embora o resultado da aplicação de procedimentos de auditoria sobre a amostra leve à conclusão de que o saldo de uma conta ou classe de transações registradas está relevantemente distorcido mas efetivamente não está,Ao determinar respostas determinadas para enfrentar os riscos avaliados de distorção irrelevante nas demonstrações contábeis o auditor pode incorporar elementos de imprevisibilidade na seleção dos procedimentos de auditoria
Risco de aceitação incorreta: é o risco de que embora o resultado da aplicação de procedimentos de auditoria sobre a amostra leve à conclusão de que o saldo de uma conta ou classe de transações registradas não está relevantemente distorcido mas efetivamente está,A realização de lançamentos contábeis em contas não relacionadas não usuais ou raramente utilizadas com números quebrados e informações de centavos caracteriza lançamentos fraudulentos
O auditor deve antes de expressar uma opinião ter obtido segurança razoável de que as demonstrações contábeis como um todo estão livres de distorção relevante independentemente de terem sido causadas por fraude ou erro,2134132 231 432 324 21
Ao determinar respostas globais para enfrentar os riscos avaliados de distorção relevante nas demonstrações contábeis o auditor deve incorporar elementos de imprevisibilidade na seleção dos procedimentos de auditoria,4123 fsd sdg fd hgh
A realização de lançamentos contábeis em contas não relacionadas não usuais ou raramente utilizadas com números quebrados e informações de centavos PODE SER INDÍCIO DE lançamentos fraudulentos, dfh dfh dfhfgd fdhj jkm
Características dos lançamentos contábeis fraudulentos ou outros ajustes – lançamentos contábeis inadequados ou outros ajustes muitas vezes têm uma única característica de identificação. Tais características podem incluir lançamentos (a) feitos em contas não relacionadas não usuais ou raramente usadas (b) feitos por indivíduos que geralmente não fazem lançamentos contábeis (c) registrados no fim do período ou como lançamento pós-fechamento com pouca ou nenhuma explicação ou descrição (d) feitos antes ou durante o processo de elaboração das demonstrações contábeis que não têm números de conta ou (e) que contêm números redondos ou números com finais constantes,fg gf jhgjn ghnghnhgn h
Embora a fraude constitua um conceito jurídico amplo para efeitos das normas de auditoria o auditor está preocupado com a fraude que causa distorção relevante nas demonstrações contábeis. Dois tipos de distorções intencionais são pertinentes para o auditor – distorções decorrentes de informações contábeis fraudulentas e da apropriação indébita de ativos. Apesar de o auditor poder suspeitar ou em raros casos identificar a ocorrência de fraude ele não estabelece juridicamente se realmente ocorreu fraude,nh gfjg hjfgjgf jgh
A principal responsabilidade pela prevenção e detecção da fraude é dos responsáveis pela governança da entidade e da sua administração,
